address,price,bedrooms,bathrooms,url
"2124 45th Ave, Long Island City, NY 11101","$1,100,000",5 bds,3 ba,https://www.zillow.com/homedetails/2124-45th-Ave-Long-Island-City-NY-11101/2101696146_zpid/
"4-74 48th Ave #35L, Long Island City, NY 11109","$865,000",2 bds,2 ba,https://www.zillow.com/homedetails/4-74-48th-Ave-35L-Long-Island-City-NY-11109/2057927371_zpid/
"3613 10th St, Long Island City, NY 11106","$1,100,000",4 bds,2 ba,https://www.zillow.com/homedetails/3613-10th-St-Long-Island-City-NY-11106/31936427_zpid/
"40-21 27th St #4B, Long Island City, NY 11101","$1,350,000",2 bds,2 ba,https://www.zillow.com/homedetails/40-21-27th-St-4B-Long-Island-City-NY-11101/453820423_zpid/
"1207 40th Ave, Long Island City, NY 11101","$1,399,000",3 bds,3 ba,https://www.zillow.com/homedetails/1207-40th-Ave-Long-Island-City-NY-11101/31936765_zpid/
"28-09 39th Avenue #2C, Long Island City, NY 11101","$637,400",1 bd,1 ba,https://www.zillow.com/homedetails/28-09-39th-Ave-2C-Long-Island-City-NY-11101/2056027068_zpid/
"40-21 27th St #6B, Long Island City, NY 11101","$875,000",1 bd,1 ba,https://www.zillow.com/homedetails/40-21-27th-St-6B-Long-Island-City-NY-11101/453821055_zpid/
"3 Court Sq APT 3307, Long Island City, NY 11101","$1,249,999",1 bd,1 ba,https://www.zillow.com/homedetails/3-Court-Sq-APT-3307-Long-Island-City-NY-11101/2069228359_zpid/
"4-74 48th Ave #38H, Long Island City, NY 11101","$579,000",1 bd,1 ba,https://www.zillow.com/homedetails/4-74-48th-Ave-38H-Long-Island-City-NY-11101/452109432_zpid/
"10-64 Jackson Ave #4B, Long Island City, NY 11101","$850,000",1 bd,1 ba,https://www.zillow.com/homedetails/10-64-Jackson-Ave-4B-Long-Island-City-NY-11101/2062105197_zpid/
"2118 45th Avenue #1 AND 2, Long Island City, NY 11101","$3,980,000",6 bds,6 ba,https://www.zillow.com/homedetails/2118-45th-Ave-FLOOR-1-Long-Island-City-NY-11101/452792780_zpid/
"41-14 27th St #8B, Long Island City, NY 11101","$1,120,000",2 bds,2 ba,https://www.zillow.com/homedetails/41-14-27th-St-8B-Long-Island-City-NY-11101/2063162039_zpid/
"1055 47th Ave APT 5E, Long Island City, NY 11101","$1,485,000",2 bds,2 ba,https://www.zillow.com/homedetails/1055-47th-Ave-APT-5E-Long-Island-City-NY-11101/83053742_zpid/
"1063 Jackson Ave APT 3D, Long Island City, NY 11101","$1,399,000",2 bds,2 ba,https://www.zillow.com/homedetails/1063-Jackson-Ave-APT-3D-Long-Island-City-NY-11101/89072549_zpid/
"1022 47th Ave, Long Island City, NY 11101","$2,850,000",3 bds,3 ba,https://www.zillow.com/homedetails/1022-47th-Ave-Long-Island-City-NY-11101/31933770_zpid/
"519 Borden Ave APT 2E, Long Island City, NY 11101","$1,350,000",2 bds,2 ba,https://www.zillow.com/homedetails/519-Borden-Ave-APT-2E-Long-Island-City-NY-11101/112518069_zpid/
"549 Borden Ave APT 9K, Long Island City, NY 11101","$1,898,000",3 bds,2 ba,https://www.zillow.com/homedetails/549-Borden-Ave-APT-9K-Long-Island-City-NY-11101/2071912867_zpid/
"2218 Jackson Ave #208, Long Island City, NY 11101","$2,095,000",3 bds,3 ba,https://www.zillow.com/homedetails/2218-Jackson-Ave-208-Long-Island-City-NY-11101/442177347_zpid/
"1311 Jackson Ave APT 2B, Long Island City, NY 11101","$998,000",2 bds,2 ba,https://www.zillow.com/homedetails/1311-Jackson-Ave-APT-2B-Long-Island-City-NY-11101/2112995391_zpid/
"42-62 Hunter St #3C, Long Island City, NY 11101","$959,000",2 bds,2 ba,https://www.zillow.com/homedetails/42-62-Hunter-St-3C-Long-Island-City-NY-11101/449992136_zpid/
"4-74 48th Ave APT 9L, Long Island City, NY 11101","$699,999",1 bd,1 ba,https://www.zillow.com/homedetails/4-74-48th-Ave-APT-9L-Long-Island-City-NY-11101/126318723_zpid/
"1333 Jackson Ave, Long Island City, NY 11101","$3,295,000",4 bds,3 ba,https://www.zillow.com/homedetails/1333-Jackson-Ave-Long-Island-City-NY-11101/2097067373_zpid/
"4630 Center Blvd UNIT PENTHOUSE 8, Long Island City, NY 11109","$2,450,000",2 bds,3 ba,https://www.zillow.com/homedetails/4630-Center-Blvd-UNIT-PENTHOUSE-8-Long-Island-City-NY-11109/444357276_zpid/
"5-17 51st Avenue, Long Island City, NY 11101","$3,200,000",6 bds,6 ba,https://www.zillow.com/homedetails/5-17-51st-Ave-Long-Island-City-NY-11101/2064230960_zpid/
"21-18 45th Ave #1AND-2, Long Island City, NY 11101","$3,980,000",6 bds,6 ba,https://www.zillow.com/homedetails/21-18-45th-Ave-1AND-2-Long-Island-City-NY-11101/452787925_zpid/
"11-02 49th Ave #9E, Long Island City, NY 11101","$1,150,000",2 bds,1 ba,https://www.zillow.com/homedetails/11-02-49th-Ave-9E-Long-Island-City-NY-11101/94720140_zpid/
"4630 Center Blvd APT 401, Long Island City, NY 11109","$2,350,000",3 bds,3 ba,https://www.zillow.com/homedetails/4630-Center-Blvd-APT-401-Long-Island-City-NY-11109/94721385_zpid/
"47-05 5th St #203, Long Island City, NY 11101","$1,695,000",3 bds,2 ba,https://www.zillow.com/homedetails/47-05-5th-St-203-Long-Island-City-NY-11101/2076920854_zpid/
"11-52 44th Dr #3A, Long Island City, NY 11101","$715,000",1 bd,1 ba,https://www.zillow.com/homedetails/11-52-44th-Dr-3A-Long-Island-City-NY-11101/450354387_zpid/
"4630 Center Blvd APT 406, Long Island City, NY 11109","$1,250,000",1 bd,1 ba,https://www.zillow.com/homedetails/4630-Center-Blvd-APT-406-Long-Island-City-NY-11109/93392660_zpid/
"2401 Queens Plz N #1702, Long Island City, NY 11101","$2,490,000",3 bds,2 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-1702-Long-Island-City-NY-11101/441852825_zpid/
"42-60 Crescent St #7D, Long Island City, NY 11101","$1,490,000",2 bds,2 ba,https://www.zillow.com/homedetails/42-60-Crescent-St-7D-Long-Island-City-NY-11101/245358908_zpid/
"1136 45th Rd #405A, Long Island City, NY 11101","$1,980,000",3 bds,2 ba,https://www.zillow.com/homedetails/1136-45th-Rd-405A-Long-Island-City-NY-11101/450100517_zpid/
"28-09 39th Avenue #5A, Long Island City, NY 11101","$988,000",2 bds,2 ba,https://www.zillow.com/homedetails/28-09-39th-Ave-5A-Long-Island-City-NY-11101/2056026196_zpid/
"4630 Center Blvd APT 903, Long Island City, NY 11109","$1,275,000",1 bd,1 ba,https://www.zillow.com/homedetails/4630-Center-Blvd-APT-903-Long-Island-City-NY-11109/93392684_zpid/
"11-25 45th Ave #3B, Long Island City, NY 11101","$1,478,000",2 bds,2 ba,https://www.zillow.com/homedetails/11-25-45th-Ave-3B-Long-Island-City-NY-11101/119532959_zpid/
"47 13th St #2, Long Island City, NY 11101","$1,650,000",5 bds,5 ba,https://www.zillow.com/homedetails/47-13th-St-2-Long-Island-City-NY-11101/450791142_zpid/
"26-26 Jackson Ave #402, Long Island City, NY 11101","$1,350,000",2 bds,2 ba,https://www.zillow.com/homedetails/26-26-Jackson-Ave-402-Long-Island-City-NY-11101/2075600561_zpid/
"11-02 49th Ave #3C, Long Island City, NY 11101","$1,325,000",2 bds,2 ba,https://www.zillow.com/homedetails/11-02-49th-Ave-3C-Long-Island-City-NY-11101/94644122_zpid/
"22-18 Jackson Ave #202, Long Island City, NY 11101","$784,000",1 bd,1 ba,https://www.zillow.com/homedetails/22-18-Jackson-Ave-202-Long-Island-City-NY-11101/2071461428_zpid/
"42-22 Crescent St #2C, Long Island City, NY 11101","$708,000",1 bd,1 ba,https://www.zillow.com/homedetails/42-22-Crescent-St-2C-Long-Island-City-NY-11101/447233469_zpid/
"5-43 48th Ave #3A, Long Island City, NY 11101","$1,350,000",2 bds,2 ba,https://www.zillow.com/homedetails/5-43-48th-Ave-3A-Long-Island-City-NY-11101/112514252_zpid/
"21-30 44th Dr #7C, Long Island City, NY 11101","$1,956,800",2 bds,2 ba,https://www.zillow.com/homedetails/21-30-44th-Dr-7C-Long-Island-City-NY-11101/2076043341_zpid/
"3 Court Sq #614, Long Island City, NY 11101","$960,000",1 bd,1 ba,https://www.zillow.com/homedetails/3-Court-Sq-614-Long-Island-City-NY-11101/2080579900_zpid/
"3615 10th St, Long Island City, NY 11106","$2,200,000",4 bds,2 ba,https://www.zillow.com/homedetails/3615-10th-St-Long-Island-City-NY-11106/31936426_zpid/
"2122 45th Rd #1, Long Island City, NY 11101","$968,000",1 bd,2 ba,https://www.zillow.com/homedetails/2122-45th-Rd-1-Long-Island-City-NY-11101/2087060417_zpid/
"42-62 Hunter St #4B, Long Island City, NY 11101","$749,000",1 bd,1 ba,https://www.zillow.com/homedetails/42-62-Hunter-St-4B-Long-Island-City-NY-11101/452055750_zpid/
"13-33 Jackson Ave #7G, Long Island City, NY 11101","$1,775,000",3 bds,2 ba,https://www.zillow.com/homedetails/13-33-Jackson-Ave-7G-Long-Island-City-NY-11101/2058101037_zpid/
"10-54 47th Ave #47-UNIT 10-54, Long Island City, NY 11101","$3,100,000",6 bds,5 ba,https://www.zillow.com/homedetails/10-54-47th-Ave-47-UNIT-10-54-Long-Island-City-NY-11101/450791500_zpid/
"10-17 Jackson Ave PENTHOUSE 8I, Long Island City, NY 11101","$1,175,000",1 bd,1 ba,https://www.zillow.com/homedetails/10-17-Jackson-Ave-PENTHOUSE-8I-Long-Island-City-NY-11101/443398528_zpid/
"3 Court Sq UNIT PENTHOUSE 306, Long Island City, NY 11101","$3,850,000",4 bds,4 ba,https://www.zillow.com/homedetails/3-Court-Sq-UNIT-PENTHOUSE-306-Long-Island-City-NY-11101/442156469_zpid/
"4630 Center Blvd #PENTHOUSE 3, Long Island City, NY 11109","$2,375,000",2 bds,3 ba,https://www.zillow.com/homedetails/4630-Center-Blvd-PENTHOUSE-3-Long-Island-City-NY-11109/444362068_zpid/
"42-22 Crescent St #8C, Long Island City, NY 11101","$719,000",1 bd,1 ba,https://www.zillow.com/homedetails/42-22-Crescent-St-8C-Long-Island-City-NY-11101/447128761_zpid/
"4630 Center Blvd APT 103, Long Island City, NY 11109","$3,200,000",3 bds,3 ba,https://www.zillow.com/homedetails/4630-Center-Blvd-APT-103-Long-Island-City-NY-11109/94721345_zpid/
"21-30 44th Dr #5E, Long Island City, NY 11101","$1,997,000",2 bds,2 ba,https://www.zillow.com/homedetails/21-30-44th-Dr-5E-Long-Island-City-NY-11101/2079581856_zpid/
"3827 28th St, Long Island City, NY 11101","$3,425,000",7 bds,7 ba,https://www.zillow.com/homedetails/3827-28th-St-Long-Island-City-NY-11101/143359812_zpid/
"4104 27th St APT 8A, Long Island City, NY 11101","$1,210,500",2 bds,2 ba,https://www.zillow.com/homedetails/4104-27th-St-APT-8A-Long-Island-City-NY-11101/2055818838_zpid/
"40-24 24th Street, Long Island City, NY 11101","$1,995,000",3 bds,2 ba,https://www.zillow.com/homedetails/4024-24th-St-Long-Island-City-NY-11101/31936710_zpid/
"10-20 47th Ave, Long Island City, NY 11101","$2,900,000",5 bds,3 ba,https://www.zillow.com/homedetails/10-20-47th-Ave-Long-Island-City-NY-11101/444354819_zpid/
"40-46 24th St #PHD, Long Island City, NY 11101","$1,895,000",2 bds,2 ba,https://www.zillow.com/homedetails/40-46-24th-St-PHD-Long-Island-City-NY-11101/443990927_zpid/
"5-19 Borden Ave #2C, Long Island City, NY 11101","$875,000",1 bd,1 ba,https://www.zillow.com/homedetails/5-19-Borden-Ave-2C-Long-Island-City-NY-11101/2063267545_zpid/
"37-24 30th St #7B, Long Island City, NY 11101","$1,543,800",2 bds,2 ba,https://www.zillow.com/homedetails/37-24-30th-St-7B-Long-Island-City-NY-11101/2057527112_zpid/
"1135 45th Ave APT 2G, Long Island City, NY 11101","$995,000",1 bd,1 ba,https://www.zillow.com/homedetails/1135-45th-Ave-APT-2G-Long-Island-City-NY-11101/245418943_zpid/
"11-52 44th Dr #A2, Long Island City, NY 11101","$698,000",1 bd,1 ba,https://www.zillow.com/homedetails/11-52-44th-Dr-A2-Long-Island-City-NY-11101/452733102_zpid/
"47-01 Vernon Blvd #4C, Long Island City, NY 11101","$820,000",1 bd,1 ba,https://www.zillow.com/homedetails/47-01-Vernon-Blvd-4C-Long-Island-City-NY-11101/2066377577_zpid/
"10-17 Jackson Ave #6F, Long Island City, NY 11101","$778,000",1 bd,1 ba,https://www.zillow.com/homedetails/10-17-Jackson-Ave-6F-Long-Island-City-NY-11101/112517981_zpid/
"3409 37th Ave, Long Island City, NY 11101","$2,258,000",3 bds,2 ba,https://www.zillow.com/homedetails/3409-37th-Ave-Long-Island-City-NY-11101/31939916_zpid/
"1055 47th Ave APT 7F, Long Island City, NY 11101","$1,815,000",2 bds,2 ba,https://www.zillow.com/homedetails/1055-47th-Ave-APT-7F-Long-Island-City-NY-11101/83054076_zpid/
"27-09 40th Ave #5A, Long Island City, NY 11101","$1,280,000",2 bds,2 ba,https://www.zillow.com/homedetails/27-09-40th-Ave-5A-Long-Island-City-NY-11101/451078562_zpid/
"2-26 50th Ave #7F, Long Island City, NY 11101","$925,000",1 bd,1 ba,https://www.zillow.com/homedetails/2-26-50th-Ave-7F-Long-Island-City-NY-11101/117614308_zpid/
"519 Borden Ave APT 1C, Long Island City, NY 11101","$879,000",1 bd,1 ba,https://www.zillow.com/homedetails/519-Borden-Ave-APT-1C-Long-Island-City-NY-11101/112509773_zpid/
